Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-04-18 09:00:00+08:00,1435.469970703125,1435.469970703125,1433.8399658203125,1433.8399658203125,0,0.0,0.0
2023-04-18 09:02:00+08:00,1433.5999755859375,1433.8599853515625,1433.5999755859375,1433.8599853515625,0,0.0,0.0
2023-04-18 09:04:00+08:00,1433.3800048828125,1433.8800048828125,1432.81005859375,1433.1800537109375,0,0.0,0.0
2023-04-18 09:06:00+08:00,1432.9000244140625,1433.56005859375,1432.9000244140625,1433.3599853515625,0,0.0,0.0
2023-04-18 09:08:00+08:00,1433.469970703125,1433.469970703125,1433.239990234375,1433.449951171875,0,0.0,0.0
2023-04-18 09:10:00+08:00,1433.8900146484375,1433.8900146484375,1433.469970703125,1433.469970703125,0,0.0,0.0
2023-04-18 09:12:00+08:00,1433.5999755859375,1433.93994140625,1433.5999755859375,1433.93994140625,0,0.0,0.0
2023-04-18 09:14:00+08:00,1433.989990234375,1433.989990234375,1433.8800048828125,1433.969970703125,0,0.0,0.0
2023-04-18 09:16:00+08:00,1433.9000244140625,1434.1099853515625,1433.8800048828125,1433.8800048828125,0,0.0,0.0
2023-04-18 09:18:00+08:00,1433.300048828125,1433.300048828125,1432.2099609375,1432.2099609375,0,0.0,0.0
2023-04-18 09:20:00+08:00,1432.280029296875,1432.280029296875,1431.75,1431.800048828125,0,0.0,0.0
2023-04-18 09:22:00+08:00,1431.7099609375,1432.510009765625,1431.7099609375,1432.1800537109375,0,0.0,0.0
2023-04-18 09:24:00+08:00,1432.1800537109375,1432.5400390625,1432.1800537109375,1432.3800048828125,0,0.0,0.0
2023-04-18 09:26:00+08:00,1432.4300537109375,1432.489990234375,1432.4300537109375,1432.489990234375,0,0.0,0.0
2023-04-18 09:28:00+08:00,1432.4100341796875,1432.4100341796875,1431.6800537109375,1431.8900146484375,0,0.0,0.0
2023-04-18 09:30:00+08:00,1432.4599609375,1433.1099853515625,1432.4599609375,1433.1099853515625,0,0.0,0.0
2023-04-18 09:32:00+08:00,1433.1300048828125,1433.1400146484375,1433.1300048828125,1433.1400146484375,0,0.0,0.0
2023-04-18 09:34:00+08:00,1433.050048828125,1433.0999755859375,1433.010009765625,1433.0999755859375,0,0.0,0.0
